datum;spiel;GrizzBln;Skusselbut;Chris;mysterion;DeChriLuxe;Beartroid;daniel;Eundt;HeavyBearX;rhys;Krox|x;fleming;dunti;Bearnaut;spieler_15;spieler_16;spieler_17;spieler_18;spieler_19;spieler_20
2026-01-21;mk8d;155;118;0;86;92;0;113;81;89;145;93;84;81;0;0;0;0;0;0;0
2026-01-28;mk8d;288;314;0;109;188;215;100;0;0;247;292;146;197;0;0;0;0;0;0
2026-02-04;mk8d;352;323;281;204;158;197;0;0;190;0;156;0;0;0;0;0;0;0;0;0
2026-02-11;mk8d;243;181;255;194;179;143;196;212;0;133;0;158;43;0;0;0;0;0;0;0
2026-02-18;mk8d;260;243;245;203;121;138;0;145;199;128;214;68;77;0;0;0;0;0;0
